ID,WORD,TRANSLATION,COMMENT
1,slag off ,poner podre,(BrE)
2,reek,"tufo, apestar",Riech in German
3,go berserk,ponerse como una fiera,go crazy
4,dicey,"arriesgado, peligroso",risky
5,at large,anda suelto,English
6,a wedge issue,asunto controversial,three words
7,nub,"meollo, quid",gist/guid
8,lease,arrendar/alquilar,English
9,conudrum,enigma/misterio,Pl. conundra
10,nefarious,perverso/malvado,English
11,flummoxed,desconcertado/confundido,English
12,flout,despreciar/desobedecer,English
13,quiver,temblar,shudder
14,bad temper,mal carácter,English
15,pounce,abalanzarse,jump upon prey
16,slobber,babear,drooling intensely
17,mangy,"sarnoso, mezquino",desgastado
18,turtle-dove,tortolito,English
19,tingle,hormigueo,feel prickly sensation
20,warthog,jabalí africano,wild boar with tusks
21,tusk,colmillo,English
22,murky,turbio/oscuro,English
23,hog,glotón/cerdo/acaparar,English
24,hedge,seto/cobertura,English
25,grovel,postrarse/humillarse,English
26,gravel,gravilla,English
27,dawdle,entrenerse /perder el tiempo move without haste,English
28,latch on,"atraído, subirse al carro",Attracted/clingy
29,pry,impertinente,noisy/intrusive
30,egg plant/beet,berenjena,English
31,furlough,military leave/permit,English
32,in the throes of,en la agonía/penas,English
33,chipmunk,tipo de ardilla con rayas/squirrel,English
34,rue,lamentar/compadecerse,English
35,jeer,mofarse de/abuchear,Boo at
36,snitch,informer/chivato,whistleblower
37,swoop,descender en picado,English
38,drab,"apagado, soso",English
39,yearn,long for,English
40,influence peddling,tráfico de influencias,English
41,raid,redada,English
42,stifle,reprimir,English
43,qualm,reparo,English
44,pry,husmear/fisgonear,Verb
45,perks,ventajas,English
46,tributary,afluente,English
47,rail against,despotraticar,criticise harshly (phrasal verb)
48,lapel,solapa,English
49,proxy,poder,English
50,bunk,litera,English
51,stingy,tacaño,English
52,craving,antojo,English
53,conjure up,"evocar, traer a la mente",Phrasal verb/evoke/summon
54,co-signer,avalista,English
55,make a killing,forrarse,English
56,pet peeve,manía,English
57,yank,tirar fuerte,pull strongly  on
58,ham up,sobreactuar,English
59,outlook,perspectiva,English
60,fan out,dispersarse,English
61,jellyfish,medusa,English
62,bleak,"desalentador, oscuro",English
63,tarp,lona,English
64,top-notch,de primera,English
65,slick,suave,"De movimiento, actuación"
66,dainty,"mono,elegante",English
67,haphazard,"caótico, desordendo",English
68,tarp,lona,English
69,awning,toldo,English
70,home improvements,bricolaje,DIY
71,upholster,tapizar,English
72,round ticket ,viaje de ida y vuelta,AmE
73,return ticket ,ida y vuelta,BrE
74,catch off-guard,pillar desprevenido,Sb. phrasal verb
75,tailgate,drive closely behind,English
76,do in,exhaust,English
77,bode,presagiar,English
78,lousy,pésimo,English
79,creep out,asustar,Phrasal verb
80,fling,Tirar,throw/cast 2.affaire/flung
81,hit it off,llevarse bien/hacer migas,Phrsal verb
82,rubble,debris/escombros,English
83,stowaway,polizón,English
84,act up,actuar de forma extraña,Phrasal verb
85,kiss up,hacer la pelota,ass-licking
86,lop off,cut,English
87,rack,tendedero,English
88,take on,contratar,Phrasal verb
89,put under,dormir/sedar,English
90,let on,dar prenda/revelar info,Phrasal verb
91,usher,acomodador,English
92,flipchart,bloc de notas/pizarra,English
93,dingy,"sucio, raído",shabby
94,hurl,tirar algo con fuerza,Throw with force
95,mink,bisón,English
96,lewd,lujurioso/lascivo,English
97,bromide,trivialidad,English
98,morbid,morbo,English
99,flip-flopper,chaquetero,English
100,chuck out,mandar a paseo,"throw away, Phrasal verb"
101,scathing,"feroz,cruel",Adjetivo
102,seedy, de mala fama,"sleazy, adjetivo"
103,pout,"complain, poner morros",English
104,spitting image,viva imagen,English
105,handspring,flip-flap,English
106,scrawny,flacucho,English
107,tattered,"arrapiento, raído",English
108,round-off,rondada,English
109,pail,bucket,English
110,white coat,bata de lab coat,English
111,shovel,spade,English
112,drying rack,tendedero,English
113,conniving,"conspirador,confabulador", Scheming
114,gorge,atiborrarse,Reflexive on/at
115,rubble,escombros,rock remains / debris
116,lewd,lascivo,lud
117,sulky,malhumorado,Eg. teenager
118,tell-tale,delatante,English
119,pander,"complacer, hacer la pelota",try to please sb
120,foraging,ir en busca de comida,English
121,on pins and needles,"in suspense, excited",English
122,slab of granite,losa/bloque,English
123,gutsy,con agallas,English
124,scales,escamas,piel=flake
125,burrow,madriguera,English
126,furrow,"surco, ranura (trench)",English
127,trample,tread heavily/crush pisotear,English
128,lightweight,a person who gets drunk easily,English
129,budding,"incipiente, en ciernes",English
130,soppy,sentimentaloide,UK
131,soapy,empalagoso,English
132,thump,hit sth hard/punch,English
133,pledge,promise,English
134,underpin,supports,English
135,state of wretchedness,miserable state,English
136,hull,casco (h^l),English
137,throng,crowd,English
138,dangle,hang loosely,English
139,sheath,vaina,English
140,bouncer,"portero, segurata",English
141,stretcher,camilla,Gurney
142,baulk,refuse,balk
143,upholstery,tapiceria,English
144,dashboard,salpicadero,English
145,glove box,guantera,English
146,gash,"raja, tajo, injury",English
147,gush,salir a borbotones/hablar,con entusiasmo/English
148,bickering,petty arguments (riñas),English
149,scab,costra,English
150,pushpin,chincheta,thumbtack
151,thumbnail,miniatura,English
152,manger ,pesebre,(meind3er)
153,snare,cepo/animal trap,English
154,wedge,meter,English
155,grim,sombrío,English
156,beguiling,enchanting,English
157,hearse,(hers)=coche fúnebre,English
158,hearth,fireplace,English
159,belittle,menospreciar,English
160,dainty,"exquisito, refinado",English
161,hag,ugly old woman;arpía,English
162,reel,tambalearse;dar vueltas,English
163,berate,scold,English
164,belated,happy belated birthday,English
165,assess,appraise=evaluate,English
166,schackles,restraints/cadenas,English
167,normalcy,(n) normal,English
168,relaxation,(n) relax,English
169,cough up,apoquinar (uk.slang),English
170,peaky,"paliducha, enferma (uk)",English
171,balaclava,pasamontaña.,English
172,slag off,criticar (uk),English
173,stunted growth,crecimiento retardado,English
174,ragtag,variado/hetereogéneo,motley-assorted
175,bead,"piece of jewellery,abalorio",English
176,shawl,"chal, mantón",English
177,purvey,provide/purveyour,English
178,get the munchies,antojo,English
179,ledge,saliente/repisa,English
180,chair lift,teleferico,English
181,dot.dot.dot,points/periods of ellipsis,English
182,slack off,bunk off,English
183,anchor down,fijar,English
184,stand pat,stand firm,English
185,orderly,celador,English
186,wanton,sin sentido,English
187,wantonness,"extravagant, random",English
188,weary,tired,English
189,rife,abundante/widespread,speculation/English
190,show-off,fantasma,English
191,HOA,home owners association,English
192,lash out,attack verbally,English
193,harass,acosar,English
194,sling,throw,English
195,rub shoulders,hobnob/codearse,English
196,phase in/out,introducir progresivamente,[/z/]English
197,leap year,bisiesto,English
198,wary,"receloso, precavido",English
199,strife,luchar;struggle,English
200,caveat,['kaeviaet] advertencia,English
201,rig,amañar/manipular,"(it was rigged=tongo) 1= install,set up"
202,frantic,desesperado; frenetico,English
203,bequeath,leave in will = give,English
204,wreak,bring about= cause to happen = infligir,English
205,pucker,"fruncir, doblar; pucker your lips",English
206,chickpea,guisante,English
207,leek,puerro,English
208,avocado,aguacate,English
209,rich,"empalogoso, indigesto, pesada",English
210,barring,prep. exceptuando,English
211,bummer,us. rollo,English
212,have your work cut out,sudar la gota gorda,difficult/English
213,moss,musgo,English
214,curly braces,corchetes,English
215,teeming with,abundant,English
216,calf,1 ternero 2= calves;gemelos,English
217,bellows,fuelle/grito/mugir,English
218,take a stab,intento,English
219,grit,gravilla|2.determinacion,2.determination/agallas/mota English
220,veer of,swerve,English
221,toating,reventa,English
222,fare-dodging,"no pagar el metro, etc",English
223,hang around,juntarse con/holgazanear,English
224,froth,foam,English
225,at behest of,como mandato/orden,English
226,verbatim,textualmente,(bei)
227,mop head,hortensia,English
228,fern,helecho,English
229,light-headed,dizzy,English
230,silicone,silikeun= silicona,English
231,silicon,siliken= silicio,English
232,referral,derivación/referencia,English
233,calf,pantorilla/gemelos,English
234,shin,espinilla/era,English
235,unsubstantiated,no comprobado/corroborado,English
236,conjoined twins,siameses,English
237,oversight,1.descuido2.vigilancia,English
238,manhole cover,tapa de alcantarilla,English
239,cumbersome,torpe;difícil de manajar,English
240,cumbersome,cumbersome burden,English
241,uncanny,strange/raro/sorprendente,English
242,vested interest,interés particular,English
243,huddled,crowded,English
244,daunting,abrumador/acogedor,English
245,pew,banco de iglesia,English
246,privy,1.conocer/2.letrina,English
247,demeanor,US. behaviour,English
248,reductive,reduccionista,reductionist-English
249,ambience,atmosphere,English
250,tooth veneer,fundas,English
251,set ablaze,set on fire,English
252,spool of string,reel,English
253,hundreds&thousands,virutas,English
254,tumbleweed,matojo rodante,English
255,come to grips,understand,English
256,gnawing,"nagging:constante, feeling",English
257,bury the lede,start story with secondary events,lead
258,gauze,gasa médica,English
259,c-section,cesárea,caesarean
260,appeal,recurrir,English
261,break even,salir a cuentas,English
262,cramp,calambre,English
263,take a stab,intento,English
264,soot,ollín,English
265,uphold,mantener,uphold your end of the bargain
266,foregone,inevitable,it's a foregone conclusion
267,envisage,imaginar/prever,in'vizid3
268,wallow,regodearse,dwell
269,bash,vapulear,criticize severely
270,embezzlement,malversación,misappropiation/fraud
271,twiddle,fiddle idly with,juguetear
272,beget,engendra,begot/begat-begotten
273,bespeak,denotes,indicates
274,tweak,modify slightly,alteración
275,hang back,draw back from,hung/hung;retroceder
276,take up with,start keeping company of,he's taken up with a very undesirable crew
277,dismal,dark and drepressing,a dismal few months
278,toe the line,conform/ponerse las pilas,conform to a rule
279,foolproof,it cannot go wrong,a prueba de tontos
280,touch and go,precarious/unpredictable,a touch and go situation
281,foregone,certain to happen,inevitable
282,slushy,sensiblero,2.melted
283,on the cusp,on the threshold,cusp-cúspide
284,stir up,provoke/incite,provocar
285,daunting,intimidador/sobrecogedor,daunted
286,chuck in,uk.quit doing,uk
287,rabbit on,uk.talk incessantly,uk
288,tantrum,rabieta,p. tandrem
289,groin,ingle,ingle
290,easel,cabellete de pintura,artist
291,trestle,caballete de obra,English
292,adamant,insistente/firme,he was adamant in his refusal
293,zeal,fervor/entusiasmo,fervor/enthusiasm
294,zealous,passionate,supporting an idea passionately
295,lore,sabiduría popular,folk wisdom
296,quell,quash/quench,sofocar
297,rousing,stirring/emocionante,stirring
298,ransack,pluner/pillage,saquear
299,squander,waste on st,derrochar
300,AWOL,absent without leave,ausentado sin permiso
301,skillet,Am.E frying pan,sartén
302,whorl,spiral/espiral,w3rl
303,writhe,squirm/twist in pain,retorcerse
304,arraign,procesar/enjuciar,take to court
305,husk,cáscara/shell,outer shell
306,portly,corupuleto/grueso,English
307,condo,Us.bloque de apartamentos,condominium
308,demist,desempañar,clear vapour from window
309,hay fever,alergia la polen,English
310,wry,irony,dry/witty.English
311,enamel,esmalte,nail enamel
312,henchman,secuaz/seguidor,sidekick/English
313,car jack,gato,jack up/subir
314,catcall,abuchear/jeer,English
315,dowry,dote/dower,Bride's money
316,plush,felpa,English
317,jaundice,ictericia,English
318,stump,muñón,English
319,slug,babosa,English
320,implement,piece of equipment,English
321,prong,spike of a fork,English
322,girth,contorno/circumference,English
323,fluff,sin valor/de relleno/trivial,English
324,teeny,tiny,English
325,garner,reunir/obtener,gather/earn
326,wholesome,moralmente íntegro/de bien,English
327,eddy,remolino/torbellino,English
328,wake,estela(water),track of waves
329,meandering,serpenteante,English
330,badger,pester/incordiar/tejón,English
331,lime,cal,English
332,mechanical pencil,lead pencil,Portaminas
333,skunk,mofeta,English
334,shred,tira/hacer tiras,"piece,strip"
335,fern,helecho,English
336,snub,desdeñar/deairar,snubbed
337,squabble,"quarrel,arque",English
338,ladle,cucharón sopera,English
339,cartwheel,voltereta lateral,English
340,clove,a clove/diente of garlic,English
341,wane,declinar/menguar,English
342,stork,cigüeña,English
343,bludgeon,aporrear/club/cudgel,English
344,elk,alce,English
345,staff,pentagrama,Pl. staves
346,sawdust,serín,English
347,barricade,barrera,English
348,helmsman,timonel,English
349,earwig,tijereta/insecto,English
350,commiserations,conmiseraciones/sympathy,English
351,cleave,1.split/2.stick fast to,English
352,graze,rozar/scrape,English
353,hamper,US. cesto ropa sucia,English
354,stale,rancio/viejo,English
355,etch,engrave/grabar,English
356,roil,swirl/agitarse,Enturbiarse/English
357,vitroceramic hob,vitroceramic cooktop,English
358,starter,apetizer,English
359,disheveled,dishevelled/unkempt,Desaliñado/English
360,squint,mirar de reojo,entrecerrar los ojos
361,marshal,(v)reunir,English
362,hasten,apresurar/purar,English
363,wean off,destetar/desenganchar,English
364,lukewarm,tibio/tibia,English
365,barge in,interrumpir/colarse,English
366,lodge,stuck,English
367,cherry pick,manipular selection,English
368,rye,centeno,English
369,lye,NaOH/sosa,English
370,behooves,VI. be good/necessary,incumbir/it x you to watch your language
371,glare,angry look/fulminante,English
372,glaze over,mirada indiferente,English
373,steadfast,firme/acérrimo/inalterable,English
374,meek,dócil/manso/sumiso,English
375,raffle,rifa,English
376,scamper,corretear,English
377,disgruntled,dissatisfied/disgutado,English
378,tug,tirar/pull/yank/tow,English
379,truss up,tie,English
380,batch,lote/tanda/remesa,English
381,dip into,break into,Empezar a usar ahorros
382,haunch,hip/patas traseras,caderas
383,skimpy,escaso/revelador,English
384,one-night stand,rollo de una noche,English
385,high-handedness,arbitrariedad/prepotencia,using power or authority whithout considering the feeling of others
386,haughty,altanero/pretotente,disdainful
387,frills,florituras,English
388,sachet,sugar sachet/bolsita,English
389,eave,cornisa/alero,English
390,guffaw,carcajada/loud laughter,English
391,tawdry,sórdido/chabacano,gaudy/tasteless/English
392,bawdy,obsceno/lascivo,English
393,morning coat,chaqué,English
394,shun,evitar/rehuír,English
395,starch,almidón,English
396,midwife,matrona,English
397,roving,itinerante/deambulante,English
398,akin to,similar to,English
399,piggyback,montar/ir a caballito,English
400,umpire,"árbitro tennis,etc",Englih
401,shuttlecock,volante bádminton,English
402,pendant,colgante,English
403,brooch,broche/Breutch/,English
404,pleated,funcido/plegado,English
405,stocky,fornido,English
406,toiletries,productos de aseo,grooming products
407,thunderclap,trueno,English
408,toxic effluent,vertido,English
409,bolt food down,enguillir,English
410,sickly,empalagoso,English
411,stodgy,comida pesada,English
412,budgerigar,periquito,English
413,nudge,codazo/empujón,English
414,stance,posture,English
415,strew,scatter,Strew-strewed-strewn
416,call for,requerir,This calls for a beer
417,shirk,eludir/vaguear,a duty;evade
418,knead,amasar/hendir,dough
419,dull,atenuar,sound/pain ((v)
420,stub,hit your toe painfully,English
421,bloating,hinchando/inflando,English
422,scammer,estafador,English
423,spinning top,peonza,English
424,slough off,desahacerse/shed skin,English
425,taunt,tease/burlarse,English
426,acquiesce,presentarse/consentir,English
427,overbearing,prepotente,English
428,comeuppance,merecedido,English
429,artichoke,alcachofa,English
430,girdle,faja,English
431,pothole,bache,English
432,rough patch,bache económico,English
433,bearing,rodamiento,English
434,light-hearted,desenfadado/not serious,English
435,leeway,margen/amplitud,margin/allowance
436,to the brim,to the rafters,English
437,surmise,conjeturar/deduce/suponer,English
438,escargot,snail as food,English-French
439,cufflinks,gemelos,English
440,nursing,enfermería,Healthcare studies
441,touted,mentada/promocionada,highly touted
442,stub out, put out a cigarrette,English
443,flippers,aletas bucear,swim fins/English
444,hash out,work hard to negotiate,English
445,pan out,result/dar resultado,English
446,live down,get over/superaar vergüenza,English
447,zipline,tirolina,English
448,squirm,retorcerse/liberarse,English
449,size up,evaluate/study,English
450,anesthetist,anestesista,anísthetist
451,adenoids,adenoides/vegataciones,English
452,toff,posh,English
453,cockles,berberechos,English
454,scythe,guadaña/saith,English
455,sickle,hoz,English
456,undergrowth,maleza,English
457,crane,grulla,English
458,grub,larva/(v)excavar,gr^b/English
459,elope,fugarse,English
460,pan,criticise harshly,English; panned by the critics
461,zuchinni,calabacín,courgette
462,drop off,dormir,English/doze off
463,soggy,1.empadado/2.pastoso,English;bedraggle:make sth soggy and dirty
464,glower,matar con la mirada,English
465,outward flight,vuelo de salida,English
466,paucity,escasez,English
467,tally with,coincidir con,English
468,wayward,obstinado/caprichoso,Wilful
469,self-same,mismo,Engklish
470,potted version,resumido,English
471,run amok,ir alocadamente,English
472,dead heat,draw/tie/emptate,English
473,flaunt,show off,English/flaunt your wealth
474,slump,flop down/desplomarse,couch/prices
475,take a dim view,mirar con malos ojos,disapprove of
476,wear sb down,convince through exhaustion,English
477,prude,mojigato/puritano,English
478,crass,coarse/de mal gusto/stupid,crass comment/crass assumption
479,sap,1.sabia|2.minar/debilitar,English
480,wheelbarrow,carretilla,English
481,untenable,insostenible/indefendible,English
482,hefty,importate/considerable,English
483,perky,cheerful/cheerleader-like,English
484,crease,arrugar/plegar,English
485,overhaul,revisar/reparar,English/revamp
486,pungent,1.olor acre/2.sarcástico,áspero/picante-English
487,hound,acosar/perseguir,dog/English
488,earmark,señalado para un uso,Emglish
489,be bowled over,estar atónito/impresionado,English
490,trifle with,tratar a la ligera,English
491,to couch,expresar/insinuar,(v)
492,indict,acusar/imputar,in'dait/English
493,construe as,interpretar,English
494,buffet,zarandear/golpear,(v)
495,reprieve,indultar,Repriiv/pardon
496,be swamped with,abrumado/overloaded,English
497,tithe,diezmo,English
498,busk,actuar en la calle,English
499,pore over,peruse/leer atentamente,English
500,cog,cogwheel/diente/rueda dentada,English
501,dab,dar golpecitos,English
502,rapacious,rapaz/greedy,English
503,subpoena,summons/citación,S@b'pi:n@
504,shunt,push aside/cambiar de via,English
505,insurmountable,insalvable/insuperable,English
506,stalwart,leal/fiel,Loyal supporter
507,dowdy,desaliñado/frumpy,English
508,level-headed,racional/snesible,English
509,scrape through,aprobar por los pelos,English
510,bollard,bolardo,pylon/stanchion
511,sappy,sensiblero,English
512,cooped up,recluído/encerrado,English-Bran
513,lackey,lacayo,servant
514,ponderous,agotador/pesado,tiresome/heavy
515,snivel,lloriquear,English
516,fitting,appropriate,English
517,whelp,chaval/cachorro,(v)Parir
518,stilts,zancos,English
519,ire,ira,aier/rouse ire
520,glum,triste/melancólico,miserable
521,eviscerate,destripar/aniquilar,disembowel/gut
522,prune,pasa/2.podar,English/to prune something away
523,impudent,insolente,rude
524,tallow,sebo/grasa,English
525,foray,incursión militar,English
526,penchant,prone to/afición,inclinación
527,mewl,gimotear,whimping
528,bawl,llorar a gritos,English
529,oaf,zoquete,English
530,corn,callos de los pies,English
531,quandary,dilema/kwa,English
532,prickly,quisquilloso/enojadizo,English
533,harrowing,desgarrador/horrible,distressing
534,dock,deducir/descontar,(v)
535,fleetingly,fugazmente,smile/think/see/recall
536,thimble,dedal,English
537,knock it off,stop it!,parar terminar
538,rattle off,decir de un tirón,English
539,flak,crítica,English
540,passbook,cartilla,bankbook
541,salacious,salaz/lascivo,Lewd
542,flock,reunir/gather,English
543,heartburn,acidez estómago,English
544,ram,carnero/male sheep,English/mutton
545,wherewithal,medios,werewi'thal
546,briches,calzones/breeches,calzones
547,canvas,lona(material),lienzo
548,rim,edge/llanta de coche,English
549,squalor,suciedad/mugre,English/s'kwal@r
550,cock-up,fracaso/desastre,uk.slang
551,propriety,decoro/modales,English
552,come about,come to be,English
553,ravenous,voraz/hambriento,English
554,sheepishly,avergonzadamente,English
555,sidle in,entrar furtivamente/sideways,English
556,denture,dentadura postiza,English
557,bask,disfrutar/echarse,sun/light
558,put paid to,finish off,put an end/stop to
559,dunk,mojar/dip,dip into liquids
560,flint,sílex,English
561,sound out,sondear/tantear,Sb. phrasal verb
562,slovenly,descuidado/desaliñado,English
563,assail,attack,Engoish
564,eke out,racionar,eke out a living ganarse la vida a duras penas
565,ravage,devastar/hacer estragos,English
566,buffet,golpe,hit
567,straggler,rezagado,race
568,plod,walk slowly,trudge
569,disparage,hablar mal/menospreciar,speak badly of/belittle
570,overblown,pretencioso/exagerado,bombastic
571,deride,mofarse/burlarse,deirision
572,snarl up,atascar tráfico,get snarled up in traffic
573,spleen,bazo/2.bad temper,English
574,dank,cold and damp/cool,English
575,jarring,discordante/chirriante,disturbing/unpleasant
576,scowl,frown angrily,English
577,carrion,carroña,decomposing flesh/carrion bird
578,dung,manure/estiércol,English
579,perfunctory,superficial/indiferente,hasty/careless
580,debauch,corromper,di'bo:ch
581,harbinger,presagio/señal/heraldo,English
582,sagging,caido/flojo,techo
583,tirade,diatriba/alegato/remark,English
584,trounces,derrotar,English
585,leap,leapt-leapt,leaped
586,to be loath to,reluctant,English
587,tantamount to,equivalent,English
588,flaky,excentrico/unreliable,Phoebe
589,chapstick,barra de cacao,English
590,mulch,compost/abono,English-manure
591,turtleneck,cuello cisne/vuelto,English
592,turf,terreno/territorio,English
593,lampoon,burlarse/mock,English
594,stymied,obstaculizado,English
595,overkill,exagerado,English
596,buzzard,gavilán,English
597,sleuth,detective,Detective
598,stance,postura intelectual,English
599,fleeting,fugaz/breve,English
600,mar,marred/dañado,English/Painting
601,barge,bote/barcaza,English
602,kennel,perrera,English
603,clinch a deal,close a deal,English
604,streamline,restructurar/racionalizar,English
605,winced,estremecerse,[wins]shudder/flinch
606,upend,overturn/derrocar,English
607,dodgy,sospechoso/turbio,inmoral
608,houndstooth,pata de gallo,pattern
609,lavish,generoso,English
610,girder,viga/supporting beam,English
611,vie for,rivalizar/competir,vying for
612,vat,tine/tub/cuba,English
613,brokerage,correduría,English
614,bereaved,afligido,when you lost sb
615,pill/bobble,bolitas,fabric/my sweater is bobbling
616,ledger,libro de contabilidad,accounting book
617,cleats,zapatos de fútbol/tacos,English
618,on approval,en periodo de prueba,buy on approval
619,antsy,ansioso/inquieto,anxious
620,lash,azotar/golpea,wave
621,gyre,giro,giro/vortex
622,upshot,resultado,English
623,butt in,interrumpir,English-barge in
624,endearing,lovely/encantador,English
625,bequest,herencia/legado,will/bequeath:leave will
626,lowdown,toda la verdad/información,(on)
627,run/ladder,carrera medias,English
628,umpteenth,enésimo/a,English
629,clapperboard,claqueta cine,English
630,come out with,(say)salirse/venir con,English
631,sneer,burla/mueca/scorn,English
632,recant,retractarse,take back/withdraw
633,trot out,ensartar/recitar,English
634,mire,fango/quedar atascado,English
635,truancy,absentismo escolar,English
636,lob,lanzar en arco,tennis high/English
637,asunder,por separado,English
638,avail,hacer uso/servir,English-reflexive
639,dabble in,interesarse por algo,English
640,hone,afilar/sharpen,English-blade
641,prone,boca abajo,English
642,fraught with,tenso/cargado de/lleno,English
643,skid,derrapar,English
644,amble,stroll,leisurely pace
645,bunion,juanete,b^nion
646,bland,soso/poco estimulante,English
647,scrapheap,desguace,basura metal
648,snug,cozy/close-fitting,English
649,saggy,flácido,English
650,dry up,quedarse en blanco/callarse,English
651,also-ran,segundón/perdedor,English
652,plank,tablón de mader,English
653,unenviable,envy,WF
654,stagger,tambalearse,walk unsteadily
655,slink,escabullierse,English-slunk-slunk
656,trudge,caminata/walk heavily,English
657,trundle,rodar/on wheels,move slowly
658,strut,pavonearse,walk proudly
659,loiter,dawdle/holgazanear,lounge
660,ghastly,horrible/pálido,cadavérico and dreaful
661,whir,spin noisily,English/insect/helicopter
662,pamper,mimar,English
663,outlay,spend/gasto,English
664,kink,vuelta/manía,torcedura/English
665,clutch,hold firmly,English
666,skive,bunk off,English
667,lush,exhuberante/frondoso,English
668,chug,drink in large gulps,English
669,ulna,cúbito and radius,English
670,unassailable,inexpugnable,English
671,alimony,pensión alimenticia,comyugal
672,leer,mirada lasciva,lustful look
673,seep,filtrarse/leak,also info
674,derelict,ruinoso/abandonado,English
675,in preference to,rather than,English
676,morouse,gloomy/taciturno,lúgubre/malhumorado
677,bane,ruina/perdición,English
678,jitter,be nervous,English
679,chuffed,uk. pleased,English
680,slate, uk. critisize,English
681,reams,lots,English
682,vet,revise,English
683,slack,suelto/flojo,English
684,hard-wearing,resistente/duradero,English
685,gallows,hora,English
686,naff,UK.slang. tacky,unfashionable/old/English
687,proselytize,try to attract converts,English
688,heave,tirar/lanzar/vomitar,heaves:arcadas/retch 
689,squelch,chapotear,English
690,gobble,engullir/deborar,English
691,stray,apartarse/desviarse,English
692,wraith,espectro/ghost,English
693,hew,taller/cortar,hewn
