ID,WORD,TRANSLATION,COMMENT
694,fudge,falsear/amañar,1.caramel/confection/slang
695,stand in good stead,servirle a uno,English
696,leastways,de todos modos,English/not to mention
697,scrub,cancelar/suspender,Emglish
698,sojourn,Estancia/estar temporalmente,English
699,thicket,mattorral/undergrowth,English
700,collar bone,clavícula,breastbone: esternón/English
701,underscore,guion bajo,English
702,elective,optativa,Subject
703,contention,point,English
704,jostle,push/shove,Empujar
705,dangle,hanging/colgando,English
706,taut,tight/firme,English
707,pointedly,explícitamente,English
708,blight,desgracia/plaga,English
709,plight,apuro/prieto,English
710,stoop,encorvarse,English
711,tart,uk.pejorative,English-zorra
712,din,escándalo/estruendo,English
713,overwrought,alterado/estresadp,Ro:t
714,enmeshed,tangled up/enredado,English
715,noose,lazo de horca,English
716,yam,batata/boniato,sweet potato
717,skittish,asustadiza,English
718,impose on sb,abusar/aprovecharse,take advantage
719,teeter,totter/wooble,teeter-totter
720,prop,lean/support,English/propped up against the wall
721,mope,sulk/desanimarse,English
722,fluster,aturullado/poner nervioso,English
723,mirth,alegría,English
724,prep,prepare,English
725,mildew,moho/mould,English
726,reproach,reproche,English
727,slog,effort,English
728,jaunt,excursion/trip,outing
729,scabies,sarna/escabiosis,English
730,endearment,affection,English
731,croft,hamlet/village,English
732,sow,female pig/sau,sau
733,instep,empeine,English
734,wimpy,debilucho/tímido,English
735,tuck,meter,English
736,unrequited,not mutual,un-re-kwaited
737,shack,chabola/barraca,English-crude house
738,gunk,mugre/pringue,English
739,chive,cebolleta,English
740,volley of,descarga/lluvia,arrows.English
741,in cahoots with, en complot,choots:delicuentes
742,fickle,voluble,English
743,whack,hit,English
744,jinx,gafe/maldicion,English
745,haymaker,golpe directo,English
746,raucous,ronco/ruidoso,roks
747,squeamish,remilgado,English
748,trickle,chorrito/goteo,slow stream
749,hail from,be from,English
750,contrivance,device/artilugio,English
751,accrue,acumular,English
752,slink,creep up to/move stealthily,English-slunk-slunk
753,lackadaisical,distraido/languido,English-student
754,bedpan,bacinilla,English
755,jumping jack,star jumps,tijera
756,stickler (for),insistente/tiquismiquis,English
757,bygones,pasado,let bygones be bygones
758,lark,alondra/bird,English
759,rebus,juego jerogífico,English
760,dress down,tell off/admonish,English/reñir
761,bamboozle,engañar/desorientar,English
762,haberdashery,mercería/notions,haberdasher:mercero
763,uptake,absorción,uptake of:use of
764,intersperse,intercalar,English
765,plushie,stuffed toy/soft toy,cuddly toy
766,grotto,secret cave/gruta,Santa's grotto
767,tinder,yesca,dry stuff to make fire
768,crank,manivela/cigüeñal,alt.cranky
769,muzzle,bozal,English
770,tinsel,espumillón/oropel,Christmas decoration
771,remittance,giro/remesa,English
772,impinge on,impactar/infringir,English
773,equivocal,ambíguo/equívoco,English
774,irrespective of,regardless,English
775,rote learning,memorización,English
776,felt,fieltro,sheet of felt
777,baldly,bluntly/directly,English-bald:llano/simple
778,plaintiff,demandante,English
779,well-to-do,acomodada,well-to-do neighbourhood
780,well-nigh,almost,English
781,banister,handrail,English
782,foolhardy,reckless,English
783,chicanery,trickery,Artimañas
784,blurb,publicidad en la tapa,libro
785,sleet,aguanieve,Granizo US
786,perspicuous,perspicuo,clear in meaning
787,rickety,desvencijado/tambaleante,English
788,rut,surco/rollo,stuck in a rut: rutina/the rut: celo
789,ominous,ominoso/bad sign,threatening
790,windfall,unexpected money,English
791,undertow,resaca marina/2.poso,implicit quality that leaves a feeling
792,porpoise,marsopa,kind of dolphin
793,ashen,very pale,English
794,destitute,very poor/indigente,English
795,keen,very sharp/afilado,English
796,chap,agrietar,lips/sking
797,chatterbox,very talktative,English
798,tepid,tibio/lukewarm,English
799,dearth,lack/escasez,English
800,surfeit,surplus/abundacia,English
801,brood,camada,English
802,nettle,ortiga/irritar,English/stinging plant
803,indispensable,imprescindible,essential
804,hearten,animar,heartened
805,nougat,turrón,nuga/'nugat
806,sieve,colador fino,/siv/ to have a mind/memory like a sieve
807,teetotal,adj. abstemio,teetotaller
808,queasy,mareado/indispuesto,sick
809,inconsequential,intrascendente,English
810,nab,atrapar/mangar,slang
811,mellifluous,melifluo/smooth,honey
812,prod,poke/empuje/codazo,English
813,hobnob,rub shoulders,Codearse
814,partridge,perdiz,Game bird
815,percolates,filtrase,percolates up/down
816,tenable,sostenible/mantenible,op. untenable
817,frond,hoja de palma/helecho,fern leaf
818,bereft,despojado/desprovisto,devoid of/deprived of
819,drudge,esclavo,sb who does menial work
820,horse around,hacer barullo/tonterías,clown around
821,bib,babero,English
822,snarl,gruñir,English- get snarled up in traffic: get stuck
823,intuit,intuir,English
824,scurry,scamper/apresurarse,English
825,huddle up,acurrucarse/apretarse,gather
826,trove,tesoro escondido,English
827,guile,artimaña,beguile:embaucar
828,hubris,orgullo desmedido,hiubris
829,smear,untar,English
830,take issue,disagree,English
831,take exception to,get offended,English
832,boon,beneficio,English
833,spree,juerga,English
834,heft,peso/bulk,English
835,extraneous,supérfluo,English
836,chump,bobalicón,English
837,wrangle,pelear por,discutir-English
838,nix,prohibir/rechazar,ban/turn down-flights nixed
839,barley,cebada,English
840,fib,white-small lie/mentirijilla,English
841,swivel,pivotar/girar,English
842,shibboleth,dogma anticuado,English
843,foist,imponer,impose
844,jut out,sobresalir/stick out,English
845,dunce,zoquete/burro,d^ns
846,rapt,adj. cautivado/embelasado,a rapt listener
847,prissy,remilgado/puritano,English
848,whinge,whine/complain,English
849,bog down,empatanar/dificultar,English
850,accrue,devengar,English
851,waiver,exención/dispensa de pago,English
852,goldfinch,jilguero,English
853,broach,bring up,English
854,haggard,demacrado,English
855,frazzle,cansar/agotar,English
856,dudgeon,ira,English
857,outline,esquema,English
858,fluff,relleno/pelusa,English-extra
859,commonality,cosa en común,shared feature
860,scuttle,plan-echar por tierra/run fast,English
861,ancillary,secundario,English
862,tenure,antiguedad/experiencia,English
863,assuage,allay/aliviar/mitigar,asweich
864,slag,escoria/fulana,English
865,morsel,bocado,English
866,tuft,mechón,fluffy clump
867,thrum,rasgar/tamborilear,make a rhytmic sound
868,yew tree,tejo,evergreen tree
869,cottage industry,industria artesanal,English
870,riled up,como loco/angry,English
871,saunter,leisurely walk,English
872,snivel,lloriquear,English
873,nonage,minoría de edad,Unmündigkeit
874,urchin,erizo de mar,"3:tchin-rascal, pillo"
875,rust,óxido,noun
876,shingle,teja/guijarro/piece,English
877,sapling,retoño,young tree
878,rustling,"sonido crujiente, susurro",leaves
879,nicker,relinchar,horse
880,knackered,uk. hecho polvo,slang
881,gutted,uk. destrozado,abatido
882,brooding,pensativo,English
883,spar,discutir,English
884,deadpan,impávido/straight face,English
885,smut,grosería/indecencia,English
886,parched,very dry/sediento,English
887,squalid,very dirty,English
888,gaunt,very thin,cadavérico
889,cutthroat,despiadado,ruthless
890,renege on ,incumplir,promesa/sth
891,mandarin neck,cuello mao,a
892,cob,corncob-mazorca,maíz
893,quarry,cantera,English
894,twitch,tic/retorcerse,English
895,echelon,escalón/nivel,Eshelon
896,custard,natilla,English
897,hubris,excessive pride,Greek term of excessive pride that causes downfall
898,uncouth,basto/zafio,English
899,swaddle,wrap up tightly/envolver,English
900,opprobium,oprobio/desgracia,English
901,strike out,independizarse,Strike out on his own/Destetar
902,pluck up the courage,armarse de valor,English
903,priggish,mojigato/puritano,English
904,stub,resguardo/talón de recibo,small artcile
905,cut-off mark,nota de corte,English/grade
906,to temper,ser trabajador temporal,I'm tempering
907,woo,attract/lure,English
908,thrush,mirlo/tordo,English
909,riveting,fascinating,English
910,suction pad,ventosa,English
911,sludge,lodo/barro,snow+mud
912,wad,pile/fajo de billetes,English
913,scowl,angry frown,English
914,hobble,walk ith a limp,walking
915,proceeds,ganancias/frutos,English
916,stint,periodo/temporada,English
917,shanty town,barrio de chabolas,shack
918,clique,hermandad/exclusive group,English
919,odometer,milometer=/cuentaquilómetros,English
920,gushy,fusivo,English
921,gooey,empalagosa/pegajosa,English
922,grate,rechinar/chirriar,it grates on the ear
923,graze,pastar/scrape/rozar,cows graze
924,jangle,tintineo,"metallic sound, keys coins"
925,glean,averiguar/cosechar,English
926,muddle,confundir/hacer lio,English
927,lunge,arremeter/embestir,English
928,yob,rascal,English
929,thyme,tomillo,English/[taim]
930,tad,poco,small amount
931,scrap ,desestimar,eg. a plan
932,awash,inundado/lleno,English
933,muse,think about/consider,English
934,fluke,suerte/chiripa,English
935,aegis,amparo/tutela,i:llis
936,fallow,barbecho/sin actividad,English
937,hold sway,dominar,English
938,bassoon,fagot,English
939,sear,burn|scorch,English
940,lob,lanzar alto con arco,English
941,suppleness,Flexibilidad,English
942,hopscotch,juego,colegio
943,grapple,luchar/forcejear,English
944,ombudsman,defensor del pueblo,Eng
945,licorice,regaliz,English
946,inveterate,compulsive,English
947,gout,gota,gaut
948,well up,emocionarse,English
949,sweltering hot,scorching,scorhing hot
950,buck a deal,Reject,turn down
951,steeple,torre iglesia,puntiaguda
952,dredge up,sacar a la luz,English
953,NDA,non-disclosure a.,agreement
954,plead with,beg/beseech,Eng
955,flounder,lenguado/struggle,English
956,galore,abundancia,English
957,dandruff,flaky scalp/caspa,English
958,scurf,caspa/scurfy,English
959,watershed,turning point,English
960,feckless,inútil/irresponable,English
961,foible,manía/pto. débil,English
962,goad,provocar/incitar,English
963,extol,alabar,English
964,mahogany,caoba,English
965,putter,potter/matar tiempo,Engish
966,vaulting box,potro,vauult
967,newt,tritón,English
968,barter,negociar/trueque,Canjear/English
969,fleece,lana/desplumar,English
970,chevron,galón,English
971,onus,duty/burden,English
972,heirloom,reliquia familiar,English
973,plaid,a cuadros,plad
974,libel,difamación,ENGLISH
975,stow,guardar,English
976,abreast,de lado a lado,keep abreast/estar al corriente
977,disparaging,ofensivo,hablar mal de
978,gander,ganso/vistazo,English
979,scourge,azote/mal,English
980,assay,assessment,English
981,shrapnel,metralla,English
982,snag,drawback,English
983,bleachers,on the stand,gradasi
984,hilt,empuñadura,handle.sword
985,pansy,a wuss,blandengue
986,pen,corral,English
987,starling,estornino,English
988,dud,porquería/fiasco,English
989,boat neck, cuello barco,English
990,strapless,palabra de honor,English
991,rowdy,alboratados,teens/kids
992,float,carroza desfile,English
993,raving,delirio,English
994,tassel,borla,English
995,miser,stingy,ungenerous
996,brocade,brocado,English
997,gumption,coraje,English
998,stringent,rigurous,English
999,rugged,resistente/robusto,English
1000,bough,rama,bau
1001,waiver,exencion de pago,English
1002,glib,fácil/superficial,English
1003,cogent,convincing,English
1004,nonchalant,despreocupad,English
1005,blithe,despreocupado,happy
1006,snub,disrespect,English
1007,gait,paso/andares,English
1008,musty,que huele a humedad,English
1009,bugle,corneta,English
1010,mut,mongrel/mestizo,Palleiro
1011,tubby,panzón,English
1012,scruffle,pelea/disputa,English
1013,chunter,decir entre dientes,English
1014,pillory,ridiculizar,English
1015,bramble,zarza,English
1016,foreboding,premonición,English
1017,stalemate,empate/p.muerto,English
1018,alacrity,celeridad/entusiasmo,English
1019,besmirch,mancillar,English
1020,spout,boquilla/pitorro,English
1021,culvert,alcantarilla tubo,ca
1022,egregious,ofensivo,remarks
1023,jolt,sacudida,shock
1024,pack in,give up,English
1025,daub,untar en,Spread
1026,downtrodden,oprimodo/pisoteado,English
1027,a tall order,challenge,English
1028,keep tabs on,monitor,English
1029,averse to,reacio/contrario,English
1030,belie,oculta/falsa impresión,English
1031,dishevelled,desaliñado,unkempt/sh
1032,dill,eneldo,English
1033,ullage,merma/tanque,English
1034,rhinestone,pedrería,English
1035,berth,bunk bed,atraque
1036,get wind of,hear a rumour,English
1037,blustery,ventoso,tempestoso
1038,singe,chamuscar bordes,English
1039,cop out,escurrir el bulto,English
1040,stack up,compare,English
1041,sift,colar/filtrar,"arena,etc"
1042,fawn,baby deer,cervatillo
1043,conflate,mezclar,trevor
1044,coddle,pamper,mimar
1045,ivy,hiedra,English
1046,wren,chocín,bird
1047,gawk,gawp/gape,Stare
1048,miffed,angry,English
1049,run the gamut,por todo el rango,gamut:escala
1050,maven,experto,us
1051,wax and wane,da altos y bajos,inglés
1052,standoffish,distante/engreido,ingles
1053,cheek by jowl,very closely together,English
1054,jowl,carrillo/papada,jaul - English
1055,regale,entertain,Englishgeil
1056,puny,exiguo/diminuto,English
1057,hoe,azada/sachar,"hoes,hose"
1058,handcuffs,restraints,English
1059,trowel,paleta,traul/small spade
1060,askance,con recelo/de reojo,English
1061,inning,vuelta/oportunidad,E
1062,pointblank,a quemarropa/blunt,English
1063,piecemeal,fragmemetado,por partes
1064,graft,injertar,plants
1065,heron,garza,long-legged wading bird
1066,aghast,espantado,English shocked
1067,do for,acabar con/kill,"English, smoking will do for him"
1068,thrum,aleteo/cuerdas,helicopter
1069,sluice,esclusa,water gate
1070,taint,perineo,English
1071,clunky,torpe/cumbersome,English
1072,shrew,harpía/musaraña,English
1073,lofty,elevado/tono pedante,English
1074,conspicuous,claro/notable,noticeable
1075,fringe,flequillo,English
1076,lathe,torno,English
1077,coast,vaguear/pasar,pasar por lo mínimo
1078,avowedly,públicamente,abiertamente
1079,keel over,dar un patatús,English
1080,gaudy,chillón,color
1081,estranged,separado,English
1082,fritter,spend idle time,English
1083,sconce,candelero,English
1084,ilk,índole/tipo,English
1085,brawny,musculoso/fornido,English
1086,rev up,acelerar/girar,English
1087,hovel,casucha,English
1088,hem and haw,titubeando,English
1089,huddle up,acurrucarse,English
1090,disgruntled,contrariado,English
1091,clout,fame&influence,power/English
1092,edgewise,sideways,English
1093,runt,enano,the runt in the litter
1094,lopsided,desequilibrado,English
1095,loaf,vaguear,English
1096,collywobbles,escalofrios,English
1097,swig,trago largo,gulp
1098,smother,asfixiar,English
1099,on the double,fast,military
1100,unfettered,not shackled,un-fettered
1101,slum,bajón/caída,English
1102,mooch,deambular/gorronear,English
1103,muck around,trastear,fiddle with
1104,cantankerous,cascarrabias,English
1105,tap out,give up,English
1106,flag,flaquear,English
1107,totter,tambalearse,English
1108,lend credence,parece confirmar,English
1109,zinger,salida cómica,English
1110,testy,irritable,English
1111,snide,sarcástico,English
1112,fret,worry/be upset,English
1113,lumber,walk heavily,plod
1114,twine,cordel/entrelazar,intertwine
1115,grifter,swindler,estafador
1116,scrunch,apretujado,crujir
1117,brash,descarado/atrevido,English
1118,pleather,cuero artificial,English
1119,ewe,female sheep,cordera
1120,slump,desplomado/desparramado,English
1121,scourer,estropajo,scour
1122,protracted,prolongued,extended time
1123,tanner,curtidor,leather manufacturer
1124,garrison,guarnecer/acuartelar,English
1125,sliver,astilla,English
1126,jet,azabache,English
1127,scrawl,scribble,"doodle, garabatearEnglish"
1128,slouch,encobarse,English
1129,chime in,meter baza,enter a discussion
1130,abet,incitar/inducir,ser cómplice de/English
1131,frisk,searched by police,English
1132,gaslight,luz de gas,English
1133,bedlam,caos/manicomio,English
1134,belly flop,planchazo,English
1135,half light,dim light at dusk,or dawn
1136,cinch,pan comido,it's a cinch
1137,hoard,hacer acopio,masks
1138,hoar,hoarfrost/escarcha,English
1139,waft,flotar/vaporoso,smell/draught
1140,chime,sonar,English
1141,scoff,burlarse/menosprecio,English
1142,shingles,herpes zoster,English
1143,bungle,hacer una chapuza,incompetecia
1144,bile,bilis,digestive juice
1145,niggle,complaint,English
1146,wheeze,resollar,breathe with difficulty
1147,sash,banda,miss universe
1148,offal,vísceras,English
1149,scout,explorar,scouting
1150,tuber,tubérculo,English
1151,grouchy,gruñón,grumpy
1152,wash up,traido marea,English
1153,reefer smoker,weed,English
1154,sheer,transparent/liso,English
1155,wisp,mechón/hilo,English
1156,peat,turba fuego,English
1157,specious, especioso,spi-shs/plausible pero falso
1158,hobble,walk with limp,English
1159,caulk,sellador,/ko:k/
1160,cloy,empalagar,English
1161,snippy,cortante/atttiude,English
1162,attest,testicar,English
1163,slash,rajar,English
1164,tote,carry/bag,English
1165,stubble,2daybeard,English
1166,quip,salida/witty remark,English
1167,airbrushed,photoshopped,English
1168,unabashedly,libre/sin temor,without worrying about criticism
1169,rout,derrota contundente,English
1170,sprawling,en extensión/creciente,English
1171,flimsy,endeble,English
1172,debauchery,libertinaje/desenfreno,English!
1173,daze,aturdir,English
1174,besotted,coladito por,infatuated
1175,doleful,triste,sorrowful
1176,harangue,sermonear,rant;arengar
1177,dour,melancólico,"gloomy,sullen"
1178,dupe,engañar,deceive
1179,officious,entrometido,meddling
1180,scrumptious,delocioso,English
1181,chit,un vale,English/ficha
1182,clampdown,medias drasticas,English
1183,dastardly,evil/malévolo,English
1184,caper,travesura/aventura,English
1185,vig,vigorish/comisión,English
1186,hickey,lovebite,English
1187,piecemeal,gradualmente/fragmentado,English
1188,suds,pompas jabón,English
1189,addled,confundido/aturdido,English
1190,buxom,rechoncho,Plump
1191,furtherance,fomento/promoción,English
1192,outstanding,pendiente,por pagar
1193,flustured,aturullado,English
1194,auspicious,favorable/próspero,English
1195,retributivism,retribucionismo,English
1196,ore,mena/mineral,English
1197,cuss out,maldecir,English
1198,ply,capa,2ply tissue
1199,fawn,adular/beige,cervatillo
1200,gander,vistazo/take a gander,male goose
1201,gripe,cólico/queja/quejarse,gripe about
1202,death knell,sentencia de muerte,sound the death knell - campana
1203,thrash about,revolverse/golpes,golpes con brazos y piernas
1204,bauble,baratija,trinket
1205,harangue,sermonear/arengar,ng
1206,wonderment,asombro,awe
1207,brazen,descarado,brazen disregard
1208,off the cuff,improvisado,English
1209,stoke,avivar,stir up
1210,crank up,redoblar esfuerzos,manivela
1211,scuttle,escabullirse,move hurriedly
1212,mangrove,manglar,twisted rooted trees
1213,straddle,cubrir/extenderse,sentarse a horcajadas
1214,dupe,trick/engañar,djup dup
1215,board up,cerrar/entablar,English
1216,hopscotch,rayuela,English
1217,quince,membrillo,quins
1218,clobber,machacar,English
1219,chaperone,carabina,English
1220,pang,espasmo/dolor agudo,hunger pang
1221,haul,arrastrar/carretar,hol
1222,lilo,colchoneta agua,lailou/beach/pool float
1223,lay,balada/poema medieval,English
1224,gambit,estrategia,apertura/gambito
1225,nutmeg,nuez moscada/caño,fútbol caño
1226,coriander,cilantro,English
1227,bide and time,esperar al momento justo,bode
1228,dally,dawdle,Entretenerse
1229,bleat,quejarse,sheep sound
1230,flub,blunder/botch,English
1231,gleam,glow faintly,gleam/glow
1232,sill,alféizar,Window sill
1233,foyer,lobby/vestíbulo,English
1234,fixture,elemento fijo/ fitted,English
1235,tote,US. bolso/bolsa maleta,English
1236,escrow,depositar,fideicomiso
1237,growth spurt,estirón,English
1238,porthole,Claraboya,English
1239,upcycle,repurpose,English
1240,slag,desecho/uk fulana,English
1241,swat,aplastar/pegar,"bee, al suelo etc"
1242,zest,cáscara/placer,English
1243,rambunctious,revoltoso/ruidoso,boisterous
1244,batter,masa/mezcla,English
1245,cackle,reírse a carcajadas,English
1246,breadwinner,que se gana el pan,English
1247,hemlock,cicuta,English
1248,half-cocked,sin pensarlo mucho,English
1249,knocked up,pregnant,English
1250,goblet,cáliz/copa,English
1251,pinafore,full-length apron,mandilón 
1252,frilly,con volantes,ruffled
1253,fumble,ser torpe/hurgar,drop the ball
1254,tuckerd-out,US.exhausted,tucker agotar
1255,nescient,ignorant,English
1256,lavish,very fancy,English
1257,drudge,trabajo pesado,como esclavo/menial
1258,swat,pegar/cachete,hit swiftly
1259,livid,furious,English
1260,mete,repartir,measure out
1261,scanty,"excaso, exiguo",English
1262,assortment,diversidad,English
1263,tousle,ruffle,English
1264,ogle,stare lustfully,English
1265,plaice,flat fish,English
1266,hare to,rush/hurry,English
1267,ham,guasón/sobreactuado,English
1268,staple,the important part,English
1269,staple,the important part,English
1270,hoarfrost,escarcha,hoar
1271,carat,quilate,English
1272,chute,conducto/rampa/salto agua,English
1273,sitch,state of affairs. us,English
1274,unfazed,"impávido, sin inmutarse",fazed: bother
1275,grand stands,gradas,English
1276,hie,apresurarse ,English
1277,cladding,revestimiento,English
1278,shoddy,"cutre, de baja calidad",shabby
1279,blow raspberry,hacer pedorretas,English
1280,crassness,"grosería, chabacanería",English
1281,sundry,variados,English
1282,happenstance,casualidad/chance,English
1283,bluff,acantilado cliff,English
1284,pliable,maleable,English
1285,marauder,"saqueador, mereodeador",English
1286,efficacious,eficaz,English
1287,hobble,cojear/restringir,English
1288,sputter,"chisporrotear,pulverizar",English
1289,fulcrum,punto de apoyo,English
1290,shrill,estridente/chillón/gritar,English
1291,spay,castrar,"neuter, castrate"
1292,sneaky,discreta ,surreptitious
1293,glib,elocuente insincero,English
1294,clasp,"cierre, hands",English
1295,dinghy,bote inflable din-Gi,English
1296,attrition,"erosión, arrepentimiento",English
1297,bawdy,obsceno,bawdyness
1298,taunt,burlar,tease
1299,brig,prisión barco,English
1300,white-knuckled ,aterrador / trepidante ,English
1301,salvage,salvar/rescatar,English
1302,citizenry,ciudadanía ,English
1303,rustle up,make something quickly,English
1304,fiddly,"complejo, difícil",requiring dexterity
1305,stepford,"obediente,conformista",the stepford wives
1306,hot mess,desastre,English
1307,brimstone,azufre/tormento,fire and brimstone
1308,padding,cushioning relleno,word padding
1309,spar,discutir pelear,English
1310,hamstring,"incapacitar, hamstrung",hamstrung: 
1311,forfeiture,"incautación, decomiso",English
1312,luscious,"voluptuous, attractive",English
1313,fondle,acariciar con cariño,English
1314,dribs and drabs,small amount,English
1315,ingenue,role of young girl,and3enu
1316,horndog,salido,English
1317,go round the bend,go crazy,English
1318,overawed,intimidado,English
1319,brash,"atrevido,impudente",descarada
1320,worrywart,un agonías ,English
1321,platitude,cliché,platitiud
1322,heifer,Young cow,h3fer
1323,pitcher,jug/jarra us,English
1324,tailspin,go into a tailspin,caer en picado
1325,libation,libación,pour wine
1326,cronyism,amiguismo/enchufe,English
1327,hit a slump,sufrir un bajón,English
1328,a powder keg,polvorín ,English
1329,accord,conceder,English
1330,ravage,estrago/deterioro,English
1331,laity,legos/laicos,people not part of clergy
1332,venality,venalidad/corrupto,ser susceptible de ser corrupto
1333,alderman,city councillor,English
1334,bespoke,a medida,bespoke shoes
1335,fritter,despilfarrar/malgastar,buñuelo also
1336,bespoke,a medida,bespoke shoes
1337,crunch time,hora de la verdad,period with pressure to succeed
1338,spry,with life,adjective
1339,to wit,es decir,that is
1340,shack,chabola,English
1341,fumble,agarrar con torpeza ,fumble the ball
1342,broach,sacar a colacion/bring up,brooch broche 
1343,gnat,mosquito,English
1344,irk,irritar,irksome
1345,musty,huele a moho,smelling of mould
1346,wistful,"nostalgic, melancólico",English
1347,wad up,enrollar,wad fajo/ wad up paper
1348,rub off on,quedarse pegado/contagiar,rub off limpiar
1349,ditzy,foolish/stupid,English
1350,tussle,fight,scuffle
1351,outlier,caso aparte,it's such an oulier
1352,Dole out ,repartir,Dole out the roles
1353,gruesome,repugnante/horripilante,English
1354,interred ,enterrado,
1355,stanchion,postes de protección,
1356,cull,sacrificar/matar,
1357,inane,"silly, pointless",inano
1358,hustler,embaucador/diligente/prostitute,English
1359,side hustle,trabajo a mayores,English
1360,scour,rastrear/peinar/fregar,scourer
1361,matronly,señorona,English
1362,despondent,abatido,English
1363,test,test,English
1364,skein,madeja/lana,coiled wool
1365,slew of,un montón,slue/voltearse
1366,wryly,irónicamente,wry:dry / irony
1367,wakeful,desvelado,English
1368,pining,añorando,English
1369,scrooge,tacaño/mezquino,English
1370,Scream blue murder,angry fit,"idiom, three words"
1371,runoff,escorrentía/waste,segunda vuelta in politics
1372,brazen,descarado/desvergonzado,shameless
1373,cavort,tontear/ligar,k'vorts
1374,drop trou,bajarse lo pantalones,us. trau
1375,taper off,estrecharse/disiparse,English
1376,skedaddle,salir pintando,English
1377,lint,hebra/pelusa,English
1378,self-effacing,discreto/pasa desapercibido,English
1379,efface,borrar/tapar,English
1380,sniffy,estirado/engreído ,English
1381,bray,rebuzno/donkey,hee-haw
1382,vim,vigor,vim and vigor 
1383,billow,inflar/nube,English
1384,mooch off,gorrón/gorroneando,of
1385,zesty,ácido/cítrico/enérgico ,English
1386,chilblain,sabañones,English
1387,cajole,"camelar, persuadir",English
1388,risk life and limb,risk everything,English
1389,apiary,colmenar,English
1390,sprawl,"espatarrarse, extenderse",English
1391,ridge,cresta/montaña,English
1392,frazzled,extenuado/agotado,English
1393,traipse,walk slowly,English
1394,newfangled,"de moda , peyorativo",English
1395,ensconsced,envuelto,English
1396,unprepossessing,poco atractivo,English/soso
1397,gab,parloteO,English
1398,welt,roncha & hives,sarpullido
1399,fodder,"pienso, carne de cañón",piltrafa
1400,seven-a-side football,fútbol siete,English
1401,tidbit,"mordisco, cotilleo",English
1402,undercut,undermine/menospreciar,English
1403,brine,salmuera,English
1404,edict,"mandato, edicto",English
1405,tot up,add up,English
1406,blackbird,mirlo,English
1407,reliance,confianza,English
1408,whelm,"anegar,sepultar","engulf,surge of water"
