ID,WORD,TRANSLATION,COMMENT
1409,lull,calma,English
1410,wistfully,melancólicamente,English
1411,fender bender,small collision,English
1412,ebb and flow,flujo y reflujo,English
1413,spatula,espumadera,English
1414,trough,Bebedero/comedero/depresión,traf
1415,expound,explain in detail and length,English
1416,tut,chasquear la lenguauk,English
1417,flit,revoletear butterfly,English
1418,flit,rebolotear,English
1419,makeshift ,improvisado/temporal,English
1420,curdle,cortase/cuajar,leche
1421,sea bass,lubina,/Bas/
1422,chide,"scold,reprimand",English
1423,glibness,falta de seriedad/flippancy,English
1424,trowel,"pala, paleta jardín ",trauel
1425,bower,"pérgola, arco arbóreo ",bauer
1426,upkeep,mantenimiento,English
1427,foolhardy,reckless,English
1428,blithely,alegremente,English
1429,stilted,poco natural/stiff,unnatural/zanco
1430,wring,retorcer/escurrir,wrung wrung
1431,propound,proponer,English
1432,stump,dejar sin palabras,boquiabierto
1433,Fag hag,mariliendres,English
1434,tossup,fifty-fifty/undecided,English
1435,LARPing,juegos de rol,English
1436,c-suite position ,ejecutivo primer nivel,English
1437,arrears,"atrasos,demora",English
1438,debase,"degradar,corromper",English
1439,leave in the lurch,dejar en la estacada,idiom sb
1440,hairy situation,dangerous ,English
1441,veer,"virar,giras",English
1442,sobriquet,nickname,seubrikei
1443,sobriquet,nickname,seubrikei
1444,run-of-the-mill ,"average, genérico ",English
1445,august,prestigioso,English
1446,limber,"flexible,agil",English
1447,boatswain,bosun/contramaestre barco,English
1448,wiseacre,smartasd/sabelotodo ,English
1449,tinderbox,polvorín,tinder:yesca
1450,measley,meager;miserable,insignificante 
1451,dreg,"posos,sobras",dregs of society 
1452,panache,"estilo,garbo",English
1453,fortitude,"strength,fortaleza",English
1454,veranda,"porche,galería ",English
1455,banged up,machacada,bruised or damaged
1456,ruched,fruncido,rusht
1457,mush mouth,"incoherente, slurring ",English
1458,stint,periodo/escatimar ,don't stint on the booze/be sparing
1459,groaning,ruido dolor,English
1460,slurping,sorber ruido,English
1461,unencumbered ,sin cargas,unencumbered opinion
1462,spurn,rechazar,English
1463,mummer,mime artist/mimo,English
1464,don,ponerse/put on,also catedrático 
1465,rickety,shaky/delipidated,English
1466,fissure ,"crack, fisura ",English
1467,whoosh,rushing sound,short u
1468,show sb the ropes,show the inner workings(job),eoi
1469,paltry,"irrisorio, insignificante ",English
1470,wily,astuto,/waily/
1471,hanker,crave,English
1472,encroach,"traspasar, infringir ",English
1473,leverage,"hacer uso de,valerse de",apalancar
1474,fresh as a daisy,fresco como una lechuga,English
1475,white hart,ciervo blanco male,English
1476,obeisance ,"referencia,homenaje",English
1477,assail,attack,English
1478,succor,"help, socorro",English
1479,tug,pull,English
1480,thwart,"frustrar, boicotear ",English
1481,"whinge,winge",complain,short I/ wind3
1482,squeamishness ,"recelo, aprensión ",English
1483,all-or-none,todos o ninguno (adj),English
1484,pilfer,hurtar,steal in small amounts 
1485,hobgoblin,"duende, trasgo",hob
1486,self-effacement ,humildad,English
1487,squall,"borrasca,chillido",English
1488,pelt,"bombardear, arrojar/pieles",bombard
1489,belabour,"insistir,atacar",English
1490,double over,"doblarse, pain/laughter",English
1491,scoundrel,sinvergüenza ,English
1492,salt of the earth,good person,English
1493,facetiously,de broma,fe'sishesli
1494,peeohole,mirilla,English
1495,jowl,carrillo,English
1496,cheek by jowl,close together ,English
1497,wince,flinch ;. recoil; doblarse,wins
1498,brittle,frágil ,English
1499,shifty,sospechoso,dodgy
1500,swathe,loads/sweith,English
1501,treasure trove,tesoro oculto/colección ,English
1502,grates on the ear,"chirría, molesta",English
1503,edict,mandato,i:dikt
1504,splay ,"extenderse, abrir piernas",English
1505,muddle,"mesas, desorden ",English
1506,thrash,hit/move uncontrollably ,English
1507,slog,"esfuerzo,trabajo duro",English
1508,hew,cortar/ajustarse,English
1509,begrudge,envidiar,English
1510,take a rain check ,go on another occasion ,English
1511,shoo-in,Candidato a ganar,English
1512,dross,basura,English
1513,mayhaps,archaic maybe,English
1514,todger,pene,English
1515,skedaddle ,"scoot, pirarae",English
1516,weigh in on,give an opinion,English
1517,churlish,rude,English
1518,pallor,paleness,English
1519,fumble ,drop the ball/torpeza,English
1520,dowel,"clavija, taco",small.rod 
1521,thoughtful,detallista,English
1522,berth,litera tren/barco,English
1523,dog in a manger,perro del hortelano ,ni come ni deja comer
1524,umbrella stand,paragüero ,English
1525,hale,sano,English
1526,spay,castrar,English
1527,gob,"boca, escupir, montón ",English
1528,jaunty ,"vivaz,alegre",jaunty music
1529,fennel,"hinojo,fiincho",English
1530,hackneyed ,cliché/trillado,"haák,niid"
1531,bank run,corralito,English
1532,venus flytrap,planta carnivora,English
1533,dead ringer for,lo más parecido,English
1534,rambunctious ,revoltoso/boisterous ,English
1535,hew,tallar,hiu
1536,orchard,huerto árboles frutales,ocherd
1537,pansy ,pensamiento flower/marica,English
1538,neck gaiter,neck warmer,geitah
1539,limber up,calentar cuerpo,limber: flexible y ágil 
1540,scowl,fruncir el sueño ,English
1541,denizen,"habitante, morador",English
1542,gut-wrenching,devastador,"a wrench,:tortura"
1543,bide your time,esperar el momentoo,English
1544,knockers,breasts,slang
1545,acrimonious ,"resentido, amargado",English
1546,obstreperous ,"alborotador, escandaloso",English
1547,divvy up,"dividir, repartir ",English
1548,billow,inflarse con el viento,clouds too
1549,trough,lowest point; bebedero,trof
1550,an outlier,caso aparte /discordante,English
1551,gavel,"mazo,martillo","gaeval , judges mallet"
1552,sputter,escupetear,English
1553,limerick,5line humorous poem,English
1554,bailor,consignador,bailee
1555,chortle,laugh with restraint ,English
1556,gumption ,"coraje, agallas",English
1557,nape,nuca. literary,English
1558,admittedly ,"I must confess, cierto es q",English
1559,upend,"volcar, cambiar drásticamente ",English
1560,interleaved,intercalado ,English
1561,bog down,"enredarse, empantanarse",difficulty
1562,blemish,"defect, imperfección mancha",English
1563,save for,except for,dated
1564,waist cincher,"corset, girdle",English
1565,mum's the word ,be silent,English
1566,pick a bone with ,dispute,Phrasal verb sb
1567,purchasing power,poder adquisitivo ,English
1568,bludgeon,golpear con porra,English
1569,seedy,sórdido cutre,English
1570,sycophant ,adulador,English
1571,obsequious ,"obsecuente, sumiso",English
1572,pinion,pluma del ala,English
1573,nerf,"weaken, diminish power",English
1574,swift ,vencejo,English
1575,flub,drop the ball/fallar,English
1576,vim,energía vigor,vim and vigor 
1577,feckless,"ineficaz, inútil ",English
1578,newt,tritón ,salamander
1579,cleaver,cuchillo carnicero ,English
1580,chaps,pantalón vaquero cowboy ,English
1581,drudgery,trabajo arduo,English
1582,talk shop,hablar del trabajo,English
1583,surreptitiously ,a escondidas ,English
1584,apricity ,warmth of the sun in winter,obsolete 
1585,shoo,ahuyentar/fuera,English
1586,wild goose chase,pointless search,English
1587,fool's errand,pointless endeavour ,English
1588,a blind alley,foolish course of action ,English
1589,chow down on,zampar US,English
1590,truancy,absence from school ,English
1591,braggart,fanfarrón ,English
1592,joist,viga pequeña ,English
1593,traipse ,walk slowly,English
1594,whipsaw,vaivén ,English
1595,faze ,desconcertado,English
1596,jalopy,"cacharro, tartana coche",jelópi
1597,whimsical,"extravagante , caprichoso,fun",English
1598,trump,outdo/outperforms,sobrepasar
1599,belabor,insistir/atacar,English
1600,fruitlessly ,infructuosamente ,English
1601,stymie,thwart/hinder,staimi/obstaculizar 
1602,shoehorn,meter con calzador,English
1603,gussy up,decorate,us English 
1604,flub,meter la pata/fallar,botch/blunder/fail
1605,wrong'un,Bad person,wrong one
1606,floored,atonadodo,English
1607,yarn,lana/hilo,ball of yarn/historia
1608,cookie cutter ,molde galletas ,English
1609,guardrails ,"guardarail, Barreras!",English
1610,set square,escuadra,"try square, cartabón"
1611,tarn,lago de montaña ,English
1612,ridge ,cresta montaña ,English
1613,bridleway,camino equestre,horses have right of way
1614,cask ale,cerveza de barril,English
1615,misnomer ,nombre poco apropiado ,English
1616,affray,"rellerta, trifulca crimen ",English
1617,bob,sube y baja,English
1618,heartwarming ,reconfortante ,English
1619,at askance,con recelo/de reojo,English
1620,hoodwink,embaucar ,English
1621,taper off,estrecharse,English
1622,stick in my craw,se me atraganta/reluctant,English
1623,gall,irritar/irritante,galling irrationality 
1624,gall,irritar/irritante,galling irrationality 
1625,giddy ,atolondrado/emocionado,English
1626,comber,big surfing wave/curly,koumer
1627,last-ditch attempt,desesperado,English
1628,provenance,origin,English
1629,slovenly,descuidado ,work or appearance 
1630,attrition,"desgaste, erosion",gradual wear down
1631,ungainly ,torpe,clumsy + awkward
1632,bellend,capullo,bell end/jerk
1633,nonce,pedófilo ,bre slang
1634,deign,dignarse,dated
1635,keep abreast,mantenerse actualizado ,English
1636,bellhop,botones US,English
1637,self-effacing ,"discreto, molesto",English
1638,crass,"vulgar, grosero ",English
1639,quibble about,objección menor,English
1640,wad up,enrollar/doblar,paper sheets
1641,chaperon,adulto acompañante ,English
1642,chasm,"abismo,sima",kazm
1643,newfangled ,"de moda, peyorativo ",English
1644,trough,"bebedero, abrevadero ",trof
1645,leave of absence ,excendencia,unpaid leave 
1646,redress ,"corregir, rectificar",English
1647,avast,alto! stop maritimo,dated
1648,bullion,lingote,gold
1649,worn to the bone,super exhausted ,English
1650,countenance ,"face, visage, favour, support ",English
1651,gall,descaro,English
1652,fess up,confesar/admitir,English
1653,nook,rincón ,English
1654,backdrop,contexto/trasfondo ,English
1655,brig,"mazmorra, calabozo",English
1656,we're quits,We're even,Idiom
1657,whipper-snapper,mocoso entitled,English
1658,subservient,subordinado a / subservient to,servil
1659,flat out,completamente/a full,outright/downright
1660,zephyr,"céfiro, viento ligero","sefer, gentle wind "
1661,rattle,sonajero,English
1662,gripe,"cólico, queja molestia ",have a gripe
1663,disenfranchised ,quitar derechos,English
1664,keg,barril cervezA,English
1665,rager,"kegger, fiesta uni/high scool",English
1666,cerulean,azul claro,English
1667,flake on,dejar plantado,stand sb up/ f on sb
1668,blow off,"disrespect, ignore",English
1669,nip,pop/short time,brE
1670,zero in on,hyper focus,English
1671,blow through sth,finish quickly,EG BAG of chips
1672,chalk up to,Put it down to,attribute it to 
1673,bring yourself to ,atreverse a algo,English
1674,wolf down,engullir ,English
1675,fell,talar,English
1676,rake it in,make money,English
1677,bashful,timido,English
1678,sanguine,alegre,gwin cheerful
1679,touchy,quisquilloso,English
1680,phlegmatic ,apático,English
1681,pansy,marica,English
1682,nifty ,"chulo, genial, excelente ",English
1683,bereft of,deprived of ,"carente de, despojado "
1684,shill,"señuelo, cómplice estafa",English
1685,soothsayer,adivino,English
1686,allotment,"parcela,huerto",English
1687,jaded,"saturado, candado",English
1688,hickory ,nogal americano/pacana,English
1689,corrugated ,ondulado,having ridges 
1690,weave,"serpentear, zigzaguear",English
1691,swot up (on),empollar UK study ,English
1692,think up ,come up with,English
1693,linchpin,"eje, centro de cambio ",English
1694,yeoman,"beefeeter royal, propietario rural",propietario rural
1695,roisterer,"juerguista, alborotador",English
1696,forego,do without/dejar ir oportunidad ,English
1697,cram,empollar,English
1698,pen in,acorralar/confinar ,English
1699,handily,convenientemente ,English
1700,plaice,flatfish/platija ,"place , similar a lenguado sole"
1701,gerbil ,gerbo/roedoe,English
1702,turmeric,cúrcuma ,English
1703,batchcooking,cook in large quantities ,English
1704,scarper,pirarse UK slang ,English
1705,spin doctor,mediador noticias ,English
1706,beholden to,indebted,English
1707,in one fell swoop,de un solo golpe,English
1708,flat out,without hesitation ,absolutely 
1709,portraiture ,retratística,English
1710,coroner,médico forense,English
1711,chipper,cheerful,English
1712,malfeasance ,actividad ilícita ,English
1713,Dalliance,flirteo,English
1714,hussy,"pícara, descocada",dated
1715,rambunctious ,"revoltoso, inquieto",English
1716,surmise,"conjeturar, hipotesis",English
1717,goad on,"provocar,incitar",English
1718,done for,"muerto,acabado",English
1719,unto,a/hacia/hasta,archaic
1720,pincushion ,alfiletero,para coser en muñeca 
1721,fawn over,adular ,be ingratiating 
1722,cloying,empalagoso ,English
1723,nous,inteligencia /perspicacia ,naus
1724,snazzy,elegante /vistoso ,clothed
1725,scrimp on,escatimar/economizar,English
1726,stultifying ,atrofiante ,English
1727,be privy to,al tanto de/informado ,English
1728,gad,wander/roam,English deambular
1729,gadabout,hombre de mundo,English
1730,tush,trasero,buttocks/colloquial
1731,deign ,dignarse a,condescend to give 
1732,gab,charlar,English
1733,chink,"ranura, rendija",a chink in your armour
1734,streamline,"optimizar, hacer más eficiente ",English
1735,disenfranchised from ,quitar el derecho,deprive
1736,take stock of ,evaluate situation ,English
1737,demurrer,objeccion ,English
1738,disenfranchise,hacer perder privilegios ,English
1739,denouement ,series finale,English
1740,contemptuous ,despectivo,English
1741,poly tunnel ,invernadero plástico ,English
1742,chew out,"reñir, echar bronca ",English
1743,raucous,"estridente, ruidoso, boisterous ",rocos
1744,kelp,alga marina ,English
1745,scorn,menosprecio ,English
1746,sullen,"lúgubre, deprimente ",English
1747,bootless,inútil (archaic),English
1748,to the brim,edge/brink full,English
1749,lather up,enjabonar,English
1750,beguiling ,encantador/seductor,English
1751,bigotry ,intolerancia ,English
1752,munch,masticar con energía ,English
1753,inquest ,"pesquisas, investigación ",to a death
1754,adjourn,"posponer, cancelar ",English
1755,trough,valle/depresión,traf/trof peaks and through
1756,accost,abordar/acercarse agresivamrnte,English
1757,That's the way the cookie crumbles,such is life,idiom
1758,scorn ,menospreciar ,English
1759,inane,pointless,English
1760,dunce ,zopenco ,English
1761,headlong,headfirst ,English
1762,a howl of protest,collocation ,protest
1763,inane,"silly, vano",English
1764,inane,"silly, vano",English
1765,out of print ,fuera de circulación ,English
1766,brunt ,"choque, embiste ",br^nt
1767,dupe,ingenuo/engañar,"diup, gullible"
1768,retch,"grave, arcadas(heave)",English
1769,jaded,"insensible, harto",English
1770,twat,genitales fem/imbecile ,English
1771,lunge at,embestir,English
1772,deckled paper,papel borde irregular ,English
1773,mush,papilla,u as un put
1774,eyeball,medir a ojo,English
1775,flimflam,swindle/engaño,English
1776,yelp,"aullar, gritar agudo",English
1777,grimy ,"mugriento, dirty",English
1778,facetiously ,de broma,English
1779,shaft ,"mango, Asta, hueco vertical",English
1780,burly,"fornido, corpulento ","sturdy, strong "
1781,acuity ,agudeza visual/mental,English
1782,drudgery,trabajo tedioso,English
1783,wrench,"dolor, tirón ",English
1784,gut-wrenching,"estremecedor, retuerce tripas",English
1785,giddy,embobado ,English
1786,admittedly ,cierto es que,English
1787,rabble,"chusma, turba ",English
1788,confounded,perplejo/confundido ,frustrado
1789,yoke,"yugo, control",English
1790,gunky,atascado ,clogged 
1791,beggar,empobrecer ,English
1792,auspicious ,favorable/propicio,English
1793,paltry,irrisorio,English
1794,off the beaten track,"unusual place, far from roads",English
1795,sear,"cauterizar, quemar",English
1796,trawler ,fishing boat with net,English
1797,provenance ,origen ,English
1798,unencumbered ,"burden less, free from liability ",English
1799,hector,intimidar ,harass
1800,spurn,"rechazar, desdeñar",English
1801,brill/brills,"wonderful, genial",English
1802,bear the brunt,"embiste, la peor parte",English
1803,bushel,"36l, medida/cesto",a bushel of apples
1804,wallop,golpetazo,English
1805,dewy-eyed,ojos llorosos ,English
1806,IRA ,fondo de pensiones ,(Roth)
1807,bleary-eyed ,soñoliento/adormilado ,English
1808,Put paid to,"arruinar,chafar",cause to end abruptly 
1809,get the better of,defeat sb,English
1810,glut,"exceso, saturación ",English
1811,poised for,preparado,English
1812,racketeer,estafador ,English
1813,bower,"cenador, pérgola ",shady leafy area 
1814,equity,capital ,English
1815,nick,cortar,English
1816,snip,cortar,English
1817,horsefly,tábano ,English
1818,dear,expensive ,English
1819,close but not cigar,"casi, pero sin éxito ",English
1820,ratchet,"llave de carraca, trinquete",English
1821,iffy,"dudoso, incierto",English
1822,"a hop, skip and a jump away",nearby,English
1823,at SBS beck and call,a la entera disposición ,English
1824,contraption,gadget,English
1825,fend for yourself,cope alone,English
1826,bump off,kill off/murder,English
1827,at the drop of a hat,a la minima,English
1828,anklet,tobillera joya,compression socks 
1829,the hiccups,hipo,English
1830,wile,"treta, artimaña ",English
1831,cheapskate,"tightwad,miser",stingy 
1832,bleary-eyed ,"ojos con sueño, ",English
1833,sleep,legaña,eye discharge
1834,legaña,sleep,English
1835,jibe with,"fit, corresponder",English
1836,heedlessly,"recklessly, inattentively",English
1837,Cognizant of,aware of,formal
1838,snag,enganchar,in a bramble 
1839,morass ,"swamp, montón ",English
1840,scramble to do,pelearse por/rapido,English
1841,cheesed off ,angry ,English
1842,cud,rumia/bolo alimenticio cow,ruminaring
1843,obeisance,obedience/obaysens,English
1844,brazen,"bold, without shame",English
1845,taxi rank,taxi stand/parada,English
1846,pound,perrera,English
1847,in the main,on the whole,English
1848,part and parcel ,essential ,English
1849,under your own steam ,"por tu cuenta, sin ayuda",English
1850,tear out of a place,leave in a hurry,English
1851,singeing ,chamuscando ,English
1852,sleuth,"detective, sabueso",English
1853,cockeyed ,"bizco, absurdo/ no cuadra ",English
1854,dowager,viuda rica,deualler
1855,high beams,luces largas ,English
1856,feckless ,"inútil, ineficaz ",English
1857,forbearing ,"calmo, paciente",English
1858,rickets,raquitismo/vitamin deficiency ,English
1859,fly coach,economy class,English
1860,trenchantly ,"mordazmente, strong","opinión, views"
1861,scabbard,sheath/vaina/funda,English
1862,dither,"titubear, vacilar ",hesitate
1863,pliancy,"docilidad, sumisión ",flexible 
1864,coddle,"mimar, consentir ",pamper
1865,incumbency,"responsabilidad, incumbencia ",English
1866,go into a tailspin ,caer en picado,English
1867,tut,disapproving noise,English
1868,quern,molinillo de mano,dated
1869,raze,demolish ,English
1870,fledgling ,"novato, principiante ",English
1871,hanker for,"anhelar, tener ganas",for/after
1872,knave,"dishonest, truhan",dated
1873,wizened ,wrinkled,English
1874,snark,sarcasmo,English
1875,nimbleness,"agilidad, adaptabilidad ",English
1876,valiance,coraje,English
1877,pigsty,"pocilga, ",English
1878,have a run-in,"serious argument, fight",English
1879,let up,"aflojar, parar, give up",English
1880,here's the real kicker,lo raro/sorpresa,Hidden disadvantage /idiom
1881,terse,"brusco, cortante",English
1882,founder,sink,verb
1883,acrimony,acritud/bitterness ,English
1884,swamp,"inundar, anegar",English
1885,moon,"hacer un calvo, enseñar el culo",English
1886,scepter,cetro,English
1887,a knock-on effect,"secondary,indirect",English
1888,arraign,"procesar, juzgar",English
1889,arraignment ,lectura de cargos judc,English
1890,nab,steal,English
1891,loafer,mocasin,English
1892,upchuck,vomitar,English
1893,touch base ,establecer contacto,English
1894,chew out,echar bronca,/get chewed out
1895,aight/ought,anything (archaic),English
1896,morose ,"taciturno, malhumorado ",merús
1897,besotted with,"infatuated, enamorado",by
1898,despondent ,abatido ,English
1899,grassroots ,las bases(miembros),English
1900,frail around,"thrash about, revolvers e",English
1901,DEI  ,"diversity, equity, inclusion",eg. candidate
1902,unassailable ,inatacable ,English
1903,as it is cracked up to be,as it is expected,Idiom
1904,swanky,"estiloso, fashionable ",English
1905,germane,pertinente ,English
1906,thuggery,vandalism ,English
1907,do in,acabr con/agotar,English
1908,snippy,"brusco,borde",English
1909,pylon,torre de energía,power mast
1910,hold up a bank,robar un banco ,English
1911,flake out,"plantarse, dejar colgado, fallar",English
1912,price gouging,aumento de precios neg,English
1913,jump the gun ,precipitarse ,English
1914,chump,tonto del culo,English
1915,fiendishly,diabolicamente,fiii
1916,extraneous information ,superfluous ,English
1917,windfall,dinero caido del cielo,English
1918,bereft of,"despojado de , desprovisto ",English
1919,keepsake,"recuerdo, objeto souvenir",English
1920,hitch,"hurdle, obstacle",English
1921,wry,"retorcida, doblada","a wry nose, wry comedy"
1922,limber up,warm up/calentar,English
1923,a dressing-down,reprimenda,English
1924,raunchy,"obscene, sexually explicit ",English
1925,measly,"meager, escaso, ínfimo ",English
1926,disparage,hablar mal de,English
1927,gobbledygook ,galimatias/difficult ,English
1928,gainly ,convenientemente/graceful,English
1929,whet appetites ,abrir apetito/afilar,English
1930,slump,desplomarse,English
1931,a smidgen of,poquito ,English
1932,off-kilter,desequilibrado/excéntrico ,English
1933,bb gun,ball bearing gun,pistola de perdigones 
1934,romp around,divirtiéndose ,English
1935,shed light on,proyectar ,English
1936,callow,"inexperto, novice",English
1937,wintry ,de invierno ,English
1938,eviscerated ,"destripado, destruido",English
1939,sprout up,grow,English
1940,egregious,"flagrante, atroz",English
1941,on the face of it,a primera vista ,English
1942,curdle,cuajar,English
1943,bloodcurdling ,hiela la sangre,English
1944,poised to,"ready, about to",English
1945,hackneyed ,"trillado, cliche",hak ni
1946,tweaker,"drogadicto, yonki",English
1947,buxom,"tetona, pechugona ",belson
1948,cajole,"engatusar, embaucar",English
1949,besought,past of beseech,suplicar
1950,reel,tambalearse,English
1951,mongrel,"cruce, mestizo",English
1952,twiddle your thumbs,do nothing ,English
1953,deposition,"declaración, juicio ",English
1954,carabiner,mosquetón de cadena,cara'biiner
1955,proffering,ofreciendo,English
1956,gnash,grind,teeth
1957,prescient,profético ,English
1958,bedsit ,"estudio, apartamento pequeño ",English
1959,naff,pasado de moda uk,English
1960,a hoot,fun/funny,Idiom
1961,crumple,arrugar,English
1962,squash,aplastar ,English
1963,turn in ,meterse en la cama,Phrasal verb
1964,a cinch,pan comido ,English
1965,decry,"denunciar, condenar",English
1966,knock-off,"copia, imitación ",English
1967,swanky ,"pijo, sofisticado ",swanky flat
1968,hump day,wednesday ,English
1969,barmy,crazy uk,English
1970,zip tie ,brida/zipper tie,English
1971,heed,"acatar, prestar atención ",also heedless negligence 
1972,chancy,risky ,English
1973,lashings of,lots of ,English
1974,rickshaw,"bicitaxi, carrito",English
1975,snooty,"snobbish, prepotente",uk
1976,jet,azabache ,English
1977,the bee's knees,outstanding ,English
1978,discombobulated ,confused,English
1979,bespoke,"custom-made, a medida",English
1980,shill,"cómplice, embaucador",English
1981,shill,"cómplice, embaucador",English
1982,shill,"cómplice, embaucador",English
1983,shill,"cómplice, embaucador",English
1984,shill,"cómplice, embaucador",English
1985,WFH,work from home,English
1986,scramble to do,apresurarse para con caos,English
1987,up to scratch ,"good enough, satisfactory ",English
1988,needs must,sí la necesidad aprieta,English
1989,tongue-in-cheek,con ironía ,English
1990,swimmingly ,de mil maravillas ,English
1991,upkeep,mantenimiento ,costes
1992,joist,viga trasversal,English
1993,waders,botas pescador/,tall rubber boots
1994,smitten,afligido/afectado,enamorado
1995,gripe about,"queja, molestia, quejarse",English
1996,clunky ,"torpe, inadecuado ",English
1997,jut out,"protrudes, sticks out",English
1998,pass up,miss out on,English
1999,at cross purposes with ,at odds with,English
2000,snazzy ,"elegante, flashy ",English
2001,nous,"/naus/ inteligencia, sentido común ",English
2002,stack up against,compare,/with
2003,flunk out of,suspender asignatura,English
2004,dupe into,engañar,English
2005,dun,apremiar para pagar deuda,/dunned
2006,bee's knees ,genial,English 
2007,adroit ,dextrous /skilful/habil,English 
2008,duck out,escabullirse ,English 
2009,foolhardy ,reckless,English 
2010,garralous ,talkative ,English
2011,prowler,mereodeador,English
2012,collard,repollo/berza,Collard greens
2013,gullet,garganta/esófago ,English
2014,bust up,romper en trozos,English
2015,aloft,en lo alto/aire,English
2016,cooties,piojos,English
2017,begrudge ,lamentar/envidiar,English 
2018,guilelessness ,ingenuidad ,English 
2019,douse ,empapar ,English 
2020,obstreperous ,alborotador,English 
2021,take umbrage at,coger resentimiento ,English
2022,skull around,esconderse merodear ,English 
2023,browbeat,"intimidar, coerce",brau
2024,gorse,toxo,go:s
2025,reeling,tambaleado /shocked ,English
2026,nadir,low point op apogee/zenith,neidier
2027,gander,male goose/take a gander,echar un vistazo 
2028,larceny,theft,English
2029,protractor,portaángulos,math tool
2030,uncurbed,sin restricciones . adj,"unlimited, unrestricted"
2031,woolgathering,"ensoñación, embobado",daydreaming
2032,in a bind,en un apuro,in trouble
2033,briar,zarza,thorny plant
2034,shuck,"desbullar, descascar, desvainar","oyster, peas"
2035,bristle wirh,plagado de/lleno,"puas, full of"
2036,grisly,"horripilante, macabro",grim
2037,churn rate,tasa de cancelación,"cancelar, mantequilla batir"
2038,up the ante,increase idiom,incrementar más allá
2039,wench,muchacha,"young woman, dated"
2040,assize,audiencia jurídica,dated
2041,broker,negociar un trato,a deal
2042,lard,pork fat,grasa
2043,haddock,abadejo,fish
2044,makeshift,sustituto temporal,"adj,apaño temporal"
2045,humdinger,una pasada,"AE dated, noun"
2046,double whammy,dos por uno,vamos para bingo
2047,SNA,orientador,"Special Needs Assistant, apoyo"
2048,acme,punto algido,"pinnacle, summit"
2049,cobbler,zapatero,shoemaket